Sr No,date,startup,vertical,city,investors,round,amount
1374,2016-09-15,infeedo,Consumer Internet,Gurgaon,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,\\xc2\\xa0 Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed Funding,200000
1375,2016-09-15,Furlenco,eCommerce,Bangalore,Lightbox Ventures and others,Private Equity,5000000
1376,2016-09-15,GoPigeon,Consumer Internet,Bangalore,Nexus Venture Partners,Private Equity,1500000
1377,2016-09-16,NewsDistill,Consumer Internet,Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding,100000
1378,2016-09-16,DoctorInsta,Consumer Internet,Gurgaon,RoundGlass Partners,Private Equity,1000000
1379,2016-09-19,Milofy,Consumer Internet,Bangalore,Accel Partners,Seed Funding,750000
1380,2016-09-19,Liqvid,Technology,New Delhi,Gray Matters Capital,Private Equity,0
1381,2016-09-19,Swiggy,Consumer Internet,Bangalore,Bessemer Venture Partners,Private Equity,15000000
1382,2016-09-20,Codemojo,Consumer Internet,Bangalore,CIO Angel Network,Seed Funding,0
1383,2016-09-20,JustLikeNew,eCommerce,Hyderabad,LetsVenture,Seed Funding,500000
1384,2016-09-20,JoeHukum,Technology,New Delhi,Sumit Jain,Seed Funding,0
1385,2016-09-21,Co Life,Consumer Internet,Bangalore,Undisclosed Investors,Seed Funding,1000000
1386,2016-09-21,PurpleDocs,Consumer Internet,Vadodara,"KellyGamma, Lead Angels & Others",Seed Funding,0
1387,2016-09-21,Pepperfry,eCommerce,Mumbai,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,31300000
1388,2016-09-21,eQuickies,eCommerce,Ahmedabad,Lothal Angel Ventures,Seed Funding,298000
1389,2016-09-21,Khel Now,Consumer Internet,New Delhi,Anglian Omega Network,Seed Funding,350000
1390,2016-09-22,Gadgetwood,Consumer Internet,New Delhi,Carpediem Capital,Private Equity,6000000
1391,2016-09-22,DailyRounds,Consumer Internet,Bangalore,"Accel Partners, Beenext, Powerhouse Ventures, Akusa Holdings",Private Equity,0
1392,2016-09-22,Flixy Games,Technology,Bangalore,Rebright Partners,Seed Funding,425000
1393,2016-09-22,HashTaag,Technology,Bangalore,Undisclosed investors,Seed Funding,1000000
1394,2016-09-22,PharmaRack,Technology,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,745000
1395,2016-09-23,\\xc2\\xa0CloudCherry,Technology,Chennai,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,6000000
1396,2016-09-23,Parentlane,Consumer Internet,Bangalore,Rohit MA,Seed Funding,0
1397,2016-09-23,First Moms Club,Consumer Internet,Mumbai,Idea Wave Labs,Seed Funding,0
1398,2016-09-23,inMotion,Technology,Noida,"Prashant Tandon, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal",Seed Funding,0
1399,2016-09-26,Let\xe2\x80\x99s Barter,Consumer Internet,New Delhi,Scale Ventures Funds,Seed Funding,0
1400,2016-09-26,EvenGini,Consumer Internet,Chennai,Procam International Pvt. Ltd,Private Equity,0
1401,2016-09-27,TinyStep,Consumer Internet,Bangalore,Flipkart Logistics Pvt. Ltd,Private Equity,1580000
1402,2016-09-27,Canvs,Consumer Internet,Mumbai,Pratik Seal,Seed Funding,0
1403,2016-09-28,Beardo,eCommerce,Ahmedabad,Venture Catalysts,Seed Funding,500000
1404,2016-09-28,Instacar,Consumer Internet,Indore,Swastika Co Ltd.,Seed Funding,1000000
1405,2016-09-28,Celes Care,Consumer Internet,Hyderabad,Endiya Partners,Seed Funding,1000000
1406,2016-09-28,Druva,Technology,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,51000000
1407,2016-09-29,Promon,eCommerce,New Delhi,Now Capital,Seed Funding,180000
1408,2016-09-29,Fastudent,eCommerce,Noida,"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta",Seed Funding,0
1409,2016-09-29,Unocoin,Consumer Internet,Bangalore,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,1500000
1410,2016-09-30,Demyto,Consumer Internet,Pune,Deepak Nathani,Seed Funding,0
1411,2016-09-30,Zeta,Technology,Mumbai,Bhavin Turakhia,Private Equity,19000000
1412,2016-09-30,Kalaage,Consumer Internet,Jaipur,Rajasthan Angel Innovators Network,Seed Funding,0
1413,2016-01-08,HealthKart,eCommerce,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,12000000
1414,2016-01-08,Medinfi,Consumer Internet,Bangalore,"Mudit Saxena, Evan Lim",Seed Funding,200000
1415,2016-01-08,RepairEasy,Consumer Internet,Pune,Undisclosed HNIs,Seed Funding,275000
1416,2016-01-08,Voonik,eCommerce,Bangalore,InnoVen Capital,Private Equity,3000000
1417,2016-01-08,Tokri,Consumer Internet,Pune,Syska LED group,Private Equity,2500000
1418,2016-02-08,Sheroes,Consumer Internet,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,1800000
1419,2016-02-08,Daily Ninja,Consumer Internet,Bangalore,"Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati",Seed Funding,0
1420,2016-02-08,Yumlane,Food & Beverage,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,1000000
1421,2016-03-08,Xcode,Healthcare,Chennai,RoundGlass Partners,Private Equity,0
1422,2016-03-08,ExtraCarbon,Consumer Internet,Gurgaon,Brand Capital,Seed Funding,225000
1423,2016-03-08,FlickBay,Consumer Internet,Mumbai,Paul Roy,Seed Funding,890000
1424,2016-04-08,Petoo,Consumer Internet,Bangalore,Existing Investors,Seed Funding,500000
1425,2016-04-08,lehlehsports,Others,New Delhi,Anglian Omega Network,Seed Funding,0
1426,2016-05-08,Tricog,Healthcare,Bangalore,"Inventus Capital Partners, Blume Ventures & Others",Private Equity,0
1427,2016-06-08,VST Travels,Technology,Kerala,Promatus Group,Seed Funding,27000
1428,2016-08-08,AdPushUp,Technology,New Delhi,"Geniee, Inc, Purvi Capital",Private Equity,0
1429,2016-08-08,Wefly Indoor Skydiving,Others,Mumbai,Swastika Company Ltd.,Seed Funding,40000
1430,2016-08-08,Mojarto,eCommerce,Gurgaon,Undisclosed Investors,Seed Funding,445000
1431,2016-08-08,Zipgrid,Consumer Internet,Mumbai,1Crowd (through crowd funding),Seed Funding,200000
1432,2016-09-08,MobiDent,Healthcare,Bangalore,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,0
1433,2016-09-08,Zeolr/RespirON,Technology,New Delhi,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,0
1434,2016-10-08,Vebbler,Consumer Internet,Bangalore,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,500000
1435,2016-10-08,Bombay Shaving Company,eCommerce,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,600000
1436,2016-11-08,Travelyaari,Consumer Internet,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,7000000
1437,2016-11-08,91SpringBoard,Consumer Internet,Mumbai,"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others",Private Equity,0
1438,2016-11-08,Genextstudents,Consumer Internet,Mumbai,1Crowd (through crowdfunding),Seed Funding,209000
1439,2016-11-08,Zenoti,Technology,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,15000000
1440,2016-12-08,Crofarm,Technology,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,1500000
1441,2016-12-08,Faircent.com,Consumer Internet,Gurgaon,Brand Capital,Private Equity,1500000
1442,2016-12-08,Innovaccer,Technology,Noida,Westbridge Capital Partners,Private Equity,15600000
1443,2016-12-08,Cuberoot,Technology,Gurgaon,Undisclosed Investors,Seed Funding,500000
1444,2016-12-08,Funcastic,Consumer Internet,New Delhi,"HT Media Ltd, North Base Media",Seed Funding,0
1445,2016-08-15,Buttercups,ECommerce,Bangalore,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese",Seed Funding,0
1446,2016-08-16,Zappfresh,ECommerce,Gurgaon,Ashvin Chadha,Seed Funding,0
1447,2016-08-16,OyoRooms,Consumer Internet,New Delhi,SoftBank Group,Private Equity,62000000
1448,2016-08-16,Hike,Consumer Internet,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,175000000
1449,2016-08-16,Joolz,eCommerce,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,500000
1450,2016-08-16,SaleBhai,eCommerce,Ahmedabad,Brand Capital,Private Equity,1500000
1451,2016-08-16,Makkajai,Technology,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,250000
1452,2016-08-16,Gradopedia,Consumer Internet,Mumbai,Undisclosed Dubai based HNIs,Seed Funding,0
1453,2016-08-17,MaalGaadi,Logistics,Indore,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,375000
1454,2016-08-17,ZiPi,Technology,Bangalore,Swan Angel Network,Seed Funding,0
1455,2016-08-17,Appknox,Technology,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,675000
1456,2016-08-17,Pikkol,Logistics,Bangalore,Indian Angel Network,Seed Funding,0
1457,2016-08-18,Meesho,eCommerce,Bangalore,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Funding,0
1458,2016-08-18,Sesame Software,Technology,Kozhikode,Speridian Technologies,Private Equity,0
1459,2016-08-19,Quikr,Consumer Internet,Mumbai,Brand Capital,Private Equity,20000000
1460,2016-08-19,Digio,Technology,Bangalore,Rainmatter,Private Equity,375000
1461,2016-08-19,Ziffity,Technology,Chennai,Aspire Systems,Private Equity,0
1462,2016-08-22,Zzungry,Consumer Internet,Bangalore,"Satish Vasudeva, Madhusudhan Jujare & Others",Seed Funding,0
1463,2016-08-22,Puro Wellness,healthcare,Mumbai,Torrent Group,Private Equity,37000000
1464,2016-08-22,Fitternity,Consumer Internet,Mumbai,"Saha Fund, Exfinity Venture Partners & Others",Private Equity,0
1465,2016-08-23,TAC Security,Technology,New Delhi,Vijay Kedia,Seed Funding,0
1466,2016-08-23,Notesgen,Consumer Internet,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,100000
1467,2016-08-23,NearU,Consumer Internet,Mumbai,Dr. Goutam Challagalla,Seed Funding,0
1468,2016-08-23,Octo.ai,Technology,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,200000
1469,2016-08-24,ShaadiSaga,Consumer Internet,New Delhi,"ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani",Seed Funding,0
1470,2016-08-24,UnaAcademy,Consumer Internet,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,\\xc2\\xa0 Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,1000000
1471,2016-08-24,Advenio,Technology,Chandigarh,Kalaari Capital,Seed Funding,100000
1472,2016-08-24,Guarented,eCommerce,Bangalore,Kalaari Capital,Seed Funding,500000
1473,2016-08-24,Beyond Evolution,Technology,Gurgaon,"Vineet Taneja, Kamal Puri",Seed Funding,0
1474,2016-08-24,Uber Dreams,eCommerce,Mumbai,Mohit Lalvani,Seed Funding,500000
1475,2016-08-24,Convegenius,Education,Noida,Michael and Susan Dell Foundation,Private Equity,900000
1476,2016-08-24,UrbanLadder,eCommerce,Mumbai,Trifecta Capital,Private Equity,3000000
1477,2016-08-24,enCashea,Consumer Internet,Bangalore,"Kunal Shah, Sandeep Tandon, Tracxn Labs",Seed Funding,0
1478,2016-08-25,EngineerBabu,Technology,Indore,Scale Ventures,Seed Funding,0
1479,2016-08-25,Cult,Healthcare,Bangalore,CureFit,Private Equity,3000000
1480,2016-08-25,WitWorks,Technology,Bangalore,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",Seed Funding,0
1481,2016-08-25,NearFox,Consumer Internet,Mumbai,"Globevestor Angel Fund, Devendra Rane, Ravi Jain,\\xc2\\xa0 Arpan Nagdeve",Seed Funding,0
1482,2016-08-25,ZoomCar,Consumer Internet,Bangalore,Ford Smart Mobility Llc,Private Equity,24000000
1483,2016-08-26,Plix,Consumer Internet,Gurgaon,Instalabs,Seed Funding,500000
1484,2016-08-26,Mobikwik,Consumer Internet,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,40000000
1485,2016-08-26,MyDidi,Consumer Internet,Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,550000
1486,2016-08-26,CrownIt,Consumer Internet,Gurgaon,"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran",Seed Funding,0
1487,2016-08-29,LoanTap,Consumer Internet,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,3000000
1488,2016-08-29,Runnr,Consumer Internet,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,7000000
1489,2016-08-29,Zolo,Consumer Internet,Noida,Hitouch AG,Private Equity,0
1490,2016-08-29,Notion Press,Consumer Internet,Chennai,Undisclosed HNI investors,Private Equity,1000000
1491,2016-08-29,LivSpace,Consumer Internet,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,15000000
1492,2016-08-30,iAugmentor Labs,Technology,Gurgaon,Rajasthan Angel Investor Network & Others,Seed Funding,149000
1493,2016-08-30,DayBox,Consumer Internet,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,104000
1494,2016-08-30,Paytm,eCommerce,Bangalore,MediaTek Inc.,Private Equity,60000000
1495,2016-08-30,CropIn,Technology,Bangalore,Sophia Investment ApS,Private Equity,2000000
1496,2016-08-30,Canvera,Consumer Internet,Bangalore,Info Edge (India) Ltd,Private Equity,3000000
1497,2016-08-30,Prime Focus Technologies,Technology,Mumbai,Ambit Pragma,Private Equity,0
1498,2016-08-31,Flyrobe,eCommerce,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,5300000
1499,2016-08-31,inclov,Consumer Internet,Mumbai,"Sarbvir Singh, Raghav Bahl",Seed Funding,0
1500,2016-01-07,RazorPay,Consumer Internet,Bangalore,MasterCard,Private Equity,0
1501,2016-01-07,DarwinBox,Technology,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,0
1502,2016-01-07,Venture Catalysts,Consumer Internet,Mumbai,Zaffiro Ventures,Seed Funding,500000
1503,2016-01-07,PressPlay TV,Consumer Internet,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,0
1504,2016-02-07,Playment,Consumer Internet,Bangalore,SAIF Partners,Private Equity,700000
1505,2016-04-07,WealthTrust,Consumer Internet,Mumbai,India Quotient,Seed Funding,0
1506,2016-04-07,Curefit,Consumer Internet,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,15000000
1507,2016-04-07,StitchWood,eCommerce,Mumbai,Deepak Gupta,Seed Funding,200000
1508,2016-04-07,Grab.in,Logistics,Mumbai,Aramex Ventures Llc,Private Equity,2000000
1509,2016-04-07,Fulfil.IO,Consumer Internet,US,Rajan Anandan,Seed Funding,0
1510,2016-04-07,NeoGrowth,Finance,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,16000000
1511,2016-05-07,SeeDoc,Consumer Internet,Gurgaon,YourNest Angel Fund\\xc2\\xa0 & Others,Private Equity,1000000
1512,2016-05-07,BookMyShow,Consumer Internet,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,82000000
1513,2016-05-07,Flyrobe,eCommerce,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\xc2\\xa0 Abhishek Jain",Seed Funding,1700000
1514,2016-06-07,HappilyUnmarried,eCommerce,New Delhi,Info Edge (India) Ltd,Private Equity,740000
1515,2016-06-07,Don\\xe2\\x80\\x99t Scratch Your Head,Technology,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,250000
1516,2016-06-07,Wedding Wishlist,Consumer Internet,Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,297000
1517,2016-07-07,AppDaily,Technology,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,2000000
1518,2016-07-07,Adytude,Consumer Internet,New Delhi,Indian Angel Network,Private Equity,1000000
1519,2016-07-07,Quickli,Logistics,Gurgaon,"AVG Group, 500 Startups",Private Equity,0
1520,2016-07-07,SpectraVR,Technology,Mumbai,Rothenberg Ventures,Seed Funding,0
1521,2016-08-07,Pitstop,Consumer Internet,Bangalore,"Alex Chua, Rahul Garg",Seed Funding,0
1522,2016-08-07,HolaChef,Consumer Internet,Mumbai,"Kalaari Capital, India Quotient",Private Equity,1950000
1523,2016-11-07,Purplle,eCommerce,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,6000000
1524,2016-11-07,Trak N Tell,Technology,Gurgaon,Brian Acton,Private Equity,3500000
1525,2016-11-07,Overcart.com,eCommerce,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,3000000
1526,2016-12-07,SirionLabs,Technology,Gurgaon,Sequoia Capital,Private Equity,12250000
1527,2016-12-07,GyanDhan,Consumer Internet,New Delhi,"Stanford Angels & Entrepreneurs, Harvard Angels",Seed Funding,0
1528,2016-12-07,MintM,Consumer Internet,Bangalore,"Mumbai Angels,\\xc2\\xa0 Times Internet",Private Equity,0
1529,2016-12-07,HitGrit,Consumer Internet,Chandigarh,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,0
1530,2016-12-07,Find My Stay,Consumer Internet,New Delhi,"Rishi Parti, Yogesh Bansal",Seed Funding,0
1531,2016-07-13,YAAP,Consumer Internet,New Delhi,Rainmaker Ventures,Private Equity,5000000
1532,2016-07-13,Utoo Cabs,Consumer Internet,Chennai,Ajay Piramal,Seed Funding,0
1533,2016-07-13,Twigly,Consumer Internet,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,600000
1534,2016-07-13,ShareChat,Consumer Internet,Bangalore,"SAIF Partners, India Quotient",Private Equity,1350000
1535,2016-07-13,Urban Tailor,Consumer Internet,Bangalore,Unitus Seed Fund,Private Equity,0
1536,2016-07-13,RentMojo,Consumer Internet,Bangalore,"Accel Partners, IDG Ventures India",Private Equity,5000000
1537,2016-07-13,CityFurnish,Consumer Internet,Gurgaon,Brand Capital,Seed Funding,0
1538,2016-07-13,HEAL Institute,Healthcare,Mumbai,"Jaspal Bindra, Parth Jindal",Seed Funding,0
1539,2016-07-14,Augrav,eCommerce,Coimbatore,Keiretsu Forum,Seed Funding,450000
1540,2016-07-14,ShoppinPal,Technology,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,1070000
1541,2016-07-14,TransTutors / AskIITians,Consumer Internet,New Delhi,500 Startups,Private Equity,0
1542,2016-07-15,WorkApps,Technology,Pune,SRI Capital,Seed Funding,1000000
1543,2016-07-15,BankerBay,Consumer Internet,Bangalore,undisclosed investors,Private Equity,2000000
1544,2016-07-15,BaggOut,eCommerce,New Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,0
1545,2016-07-15,TripShelf,eCommerce,New Delhi,GEMS group,Seed Funding,250000
1546,2016-07-15,SatvaCart,eCommerce,New Delhi,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Funding,0
1547,2016-07-15,Ridlr,Consumer Internet,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,6000000
1548,2016-07-18,Yellowdig,Consumer Internet,Pune,SRI Capital,Seed Funding,650000
1549,2016-07-18,Zuppler,Consumer Internet,New Delhi,SRI Capital,Seed Funding,650000
1550,2016-07-18,BlueStone,eCommerce,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,30000000
1551,2016-07-18,underDOGS,Technology,Mumbai,Intelli Reboot Digital Pvt. Ltd,Private Equity,0
1552,2016-07-18,ImageProVision,Technology,Pune,Satish Jamdar,Seed Funding,0
1553,2016-07-19,Sagacito,Technology,New Delhi,Star India Pvt. Ltd,Private Equity,10000000
1554,2016-07-19,Deal4Loans / Wishfin,Consumer Internet,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,15000000
1555,2016-07-19,NiYO Solutions,Technology,Bangalore,Prime Venture Partners,Private Equity,1000000
1556,2016-07-19,AppLop,Consumer Internet,Gurgaon,Green House Ventures Accelerator,Seed Funding,250000
1557,2016-07-20,Tax2Win,Consumer Internet,Jaipur,Undisclosed Investors,Private Equity,1000000
1558,2016-07-20,Truckola,Logistics,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,595000
1559,2016-07-20,iServe Financial,Consumer Internet,Pune,Nilesh Shah,Seed Funding,0
1560,2016-07-21,MyTaxiIndia,Consumer Internet,New Delhi,Nihon Kotsu Co,Private Equity,1000000
1561,2016-07-21,AbeRuk,eCommerce,Bangalore,Swastika Company Pvt Ltd,Seed Funding,0
1562,2016-07-21,Wiwigo,Consumer Internet,Bangalore,Indian Angel Network,Seed Funding,595000
1564,2016-01-06,Chikoop,Consumer Internet,Indore,Undisclosed Investors,Seed Funding,0
1565,2016-01-06,BRIDGEi2I,Technology,Bangalore,Edelweiss Private Equity,Private Equity,0
1566,2016-02-06,Droom,eCommerce,New Delhi,"Beenext, Digital Garage, Lightbox, Beenos",Private Equity,0
1567,2016-02-06,Visit,Consumer Internet,New Delhi,MapmyIndia,Seed Funding,0
1568,2016-02-06,Atomberg,Technology,Mumbai,Parampara Capital,Private Equity,1000000
1569,2016-02-06,Coutloot,eCommerce,Mumbai,Venture Catalysts,Seed Funding,0
1570,2016-02-06,Limo,Consumer Internet,Mumbai,Rainmaker Ventures,Private Equity,1000000
1571,2016-03-06,iCliniq,Consumer Internet,Bangalore,MadhanKumar Madathupalayam,Seed Funding,0
1572,2016-03-06,GoGo Truck,Consumer Internet,Chennai,Undisclosed Investor,Seed Funding,75000
1573,2016-03-06,Vyome Biosciences,Healthcare,New Delhi,Romulus Capital,Private Equity,2000000
1574,2016-06-06,SillyMonks,Consumer Internet,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,448000
1575,2016-07-06,CueMath,Education,Bangalore,"Sequoia Capital, Unitus Seed Fund",Private Equity,4000000
1576,2016-07-06,KrazyBee,Consumer Internet,Bangalore,"Yeahmobi, Fenqile",Private Equity,2000000
1577,2016-07-06,Intgrea,Technology,Bangalore,Undisclosed Investor,Seed Funding,100000
1578,2016-07-06,HelpShift,Technology,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,23000000
1579,2016-07-06,CreditVidya,Technology,Mumbai,Kalaari Capital,Private Equity,1000000
1580,2016-08-06,Grey Campus,Consumer Internet,Hyderabad,Sarath Sura,Seed Funding,1000000
1581,2016-08-06,ListUp,eCommerce,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,500000
1582,2016-08-06,6Degree,Technology,Mumbai,Indian Angel Network,Seed Funding,200000
1583,2016-08-06,Shopwati,Consumer Internet,Gurgaon,Sanjiv Rai,Seed Funding,0
1584,2016-08-06,Cookifi,Consumer Internet,Bangalore,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore",Seed Funding,0
1585,2016-08-06,StoreKing,eCommerce,Bangalore,Axiata Digital,Private Equity,16000000
1586,2016-08-06,Wired Hub,Real Estate,Jaipur,"Ankit Maheshwari, Anand Singh",Seed Funding,0
1587,2016-08-06,MySeniorDoctor,Consumer Internet,Gurgaon,BlackJag Partners,Seed Funding,200000
1588,2016-09-06,Teabox,eCommerce,Siliguri,Cameron Jones,Seed Funding,0
1589,2016-09-06,ExtraaEdge,Consumer Internet,Pune,"Ritesh Dwivedy, Priti Padhy",Seed Funding,0
1590,2016-09-06,EPayLater,Technology,Mumbai,3 undisclosed HNIs,Seed Funding,2000000
1591,2016-10-06,Kyazoonga,eCommerce,Mumbai,Ratan Tata,Seed Funding,0
1592,2016-10-06,Paytunes,Consumer Internet,New Delhi,"CIO Angel Network, Indian Angel Network",Private Equity,500000
1593,2016-10-06,Kickstart Jobs,Technology,Gurgaon,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna",Seed Funding,0
1594,2016-10-06,Freshee,FMCG,Mumbai,Edelweiss Private Equity,Private Equity,0
1595,2016-10-06,MadRat Games,Technology,Bangalore,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham",Seed Funding,0
1596,2016-11-06,Jazzmyride,eCommerce,New Delhi,TVS Automobile Solutions Ltd,Private Equity,0
1597,2016-11-06,AutoSense,Technology,New Delhi,TVS Automobile Solutions Ltd,Private Equity,0
1598,2016-11-06,Redsun Telematics,Consumer Internet,Chennai,TVS Automobile Solutions Ltd,Private Equity,0
1599,2016-06-13,KhanaGadi,Consumer Internet,Jaipur,50K Ventures,Seed Funding,0
1600,2016-06-13,Bombay Shirt Company,eCommerce,Mumbai,undisclosed investor,Private Equity,1000000
1602,2016-06-14,EdTechReview,Consumer Internet,New Delhi,EVC Ventures,Seed Funding,0
1603,2016-06-14,Bonhomia,Food & Beverage,New Delhi,Valpro Capital and existing investors,Private Equity,0
1604,2016-06-14,Gobolt,Logistics,New Delhi,MCube8,Seed Funding,0
1605,2016-06-14,Jivox,Technology,Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Private Equity,6000000
1606,2016-06-14,Sminq,Consumer Internet,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",Seed Funding,1000000
1607,2016-06-14,CureJoy,Consumer Internet,Bangalore,Accel Partners India,Private Equity,4400000
1608,2016-06-15,Oneway.cab,Consumer Internet,Vadodara,Indian Angel Network,Seed Funding,450000
1609,2016-06-15,GrabOnRent,eCommerce,Bangalore,IvyCap Ventures and Unicorn India Ventures,Private Equity,0
1610,2016-06-16,Diro Labs,Consumer Internet,New Delhi,Info Edge (India) Ltd,Private Equity,450000
1611,2016-06-16,Unnati Helpers,Consumer Internet,Gurgaon,Info Edge (India) Ltd,Private Equity,600000
1612,2016-06-16,Athletto,Consumer Internet,Bangalore,Atul Ingle,Seed Funding,0
1613,2016-06-16,Saavn,Consumer Internet,USA,Guy Oseary,Private Equity,0
1614,2016-06-16,Voonik,eCommerce,Bangalore,Sequoia Capital,Private Equity,20000000
1615,2016-06-16,ThinkPhi,Technology,Mumbai,Nimmagadda Prasad,Seed Funding,0
1616,2016-06-17,Cleartax,Consumer Internet,New Delhi,"Ravi Adusumalli, SAIF Partners",Private Equity,12000000
